Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2807","Rice and products","2017","2017","kcal/cap/d","91.05","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2017","2017","g/cap/d","1.87","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2017","2017","g/cap/d","0.3","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2807","Rice and products","2018","2018","kcal/cap/d","90.92","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2018","2018","g/cap/d","1.86","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2018","2018","g/cap/d","0.3","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2807","Rice and products","2019","2019","kcal/cap/d","126.32","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2019","2019","g/cap/d","2.59","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2019","2019","g/cap/d","0.39","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2807","Rice and products","2020","2020","kcal/cap/d","110.7","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2020","2020","g/cap/d","2.27","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2020","2020","g/cap/d","0.34","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2807","Rice and products","2021","2021","kcal/cap/d","92.1","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2021","2021","g/cap/d","1.88","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2021","2021","g/cap/d","0.29","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2807","Rice and products","2022","2022","kcal/cap/d","118.3","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2022","2022","g/cap/d","2.42","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2022","2022","g/cap/d","0.37","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2513","Barley and products","2010","2010","kcal/cap/d","14.16","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2513","Barley and products","2010","2010","g/cap/d","0.41","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2513","Barley and products","2010","2010","g/cap/d","0.07","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2513","Barley and products","2011","2011","kcal/cap/d","35.19","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2513","Barley and products","2011","2011","g/cap/d","1.01","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2513","Barley and products","2011","2011","g/cap/d","0.18","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2513","Barley and products","2012","2012","kcal/cap/d","32.16","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2513","Barley and products","2012","2012","g/cap/d","0.93","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2513","Barley and products","2012","2012","g/cap/d","0.16","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2513","Barley and products","2013","2013","kcal/cap/d","5.26","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2513","Barley and products","2013","2013","g/cap/d","0.15","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2513","Barley and products","2013","2013","g/cap/d","0.03","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2513","Barley and products","2014","2014","kcal/cap/d","2.02","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2513","Barley and products","2014","2014","g/cap/d","0.06","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2513","Barley and products","2014","2014","g/cap/d","0.01","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2513","Barley and products","2015","2015","kcal/cap/d","2.09","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2513","Barley and products","2015","2015","g/cap/d","0.06","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2513","Barley and products","2015","2015","g/cap/d","0.01","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2513","Barley and products","2016","2016","kcal/cap/d","1.96","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2513","Barley and products","2016","2016","g/cap/d","0.05","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2513","Barley and products","2016","2016","g/cap/d","0.01","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2513","Barley and products","2017","2017","kcal/cap/d","1.95","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2513","Barley and products","2017","2017","g/cap/d","0.05","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2513","Barley and products","2017","2017","g/cap/d","0.01","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2513","Barley and products","2018","2018","kcal/cap/d","1.99","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2513","Barley and products","2018","2018","g/cap/d","0.06","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2513","Barley and products","2018","2018","g/cap/d","0.01","E","Estimated value",""
